Guardium Version,OS/Platform,OS/Platform version,Database/DBaaS,Database/DBaaS version,Network traffic,Local traffic,Encrypted traffic,Shared Memory,Kerberos,Blocking,Redaction,UID Chain,Compression,Query Rewrite,Instance Discovery,Protocol
11,Red Hat,Red Hat 5,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 4,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 12 - sixtyfour-bit,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 11 - thirtytwo-bit, sixtyfour-bit,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,AIX,AIX 7.2,Oracle Exadata,Oracle Exadata 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,,K-TAP, A-TAP,K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.5,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.4,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.3,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.2,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.1,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 6,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 5,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 4,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 12 - sixtyfour-bit,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Suse,Suse 11 - thirtytwo-bit, sixtyfour-bit,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,AIX,AIX 7.2,Oracle Exadata,Oracle Exadata 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,,K-TAP, A-TAP,K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle Exadata,Oracle Exadata 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.5,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.4,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.3,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.2,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.1,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7,Oracle RAC,Oracle RAC 18c,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.5,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.4,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.3,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.2,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.1,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7,Oracle RAC,Oracle RAC 12.2,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
11,Red Hat,Red Hat 7.6,Oracle RAC,Oracle RAC 12.1,K-TAP,K-TAP,A-TAP (ASO, SSL),,K-TAP,K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only),K-TAP,K-TAP,,,Yes,N/A
