GuardiumVersion,OSName,OSVersion,Database,DatabaseVersion,Network traffic,Instance Discovery,Protocol,Notes
11.4,Windows Server,Windows Server 2012,MS SQL Server,MS SQL Server 2017,UC,S-TAP,"TCP, NMP","Both Force Encryption"" and ""Always Encrypted"" are supported.The ""Always Encryption"" option in MS SQL Server 2016 and 2017 is supported, except for the Redact (scrub) function. For the Redact (scrub) function within MS-SQL Server 2016 or 2017, Guardium can"
11.4,Windows Server,Windows Server 2012 R2,MS SQL Server,MS SQL Server 2017,UC,S-TAP,"TCP, NMP","Both Force Encryption"" and ""Always Encrypted"" are supported.The ""Always Encryption"" option in MS SQL Server 2016 and 2017 is supported, except for the Redact (scrub) function. For the Redact (scrub) function within MS-SQL Server 2016 or 2017, Guardium can"
11.3,AWS,,Amazon S3,,UC,,,
11.4,AWS,,Amazon S3,,UC,,,
11.4,Red Hat,,HDFS,HDFS 3.1,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 12.3,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 11,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 10,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 9.6,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 9.5,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 9.4,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 12,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 13.0,UC,,,
11.4,AWS,,PostgreSQL,PostgreSQL 12.7,UC,,,
11.4,AWS,,DynamoDB,,UC,,,
11.4,AWS,,MS SQL Server,MS SQL Server 2017,UC,,,
11.4,AWS,,Snowflake,,UC,,,
